ID,answer_0,answer_1,answer_2,answer_3
TEST_0174,2,0,1,3
TEST_0175,1,0,3,2
TEST_0176,1,3,2,0
TEST_0177,2,1,3,0
TEST_0178,1,3,2,0
TEST_0179,0,1,2,3
TEST_0180,1,0,3,2
TEST_0181,2,0,1,3
TEST_0182,1,3,2,0
TEST_0183,3,2,1,0
TEST_0184,2,1,3,0
TEST_0185,0,1,3,2
TEST_0186,3,2,1,0
TEST_0187,3,0,2,1
TEST_0188,2,0,1,3
TEST_0189,3,0,2,1
TEST_0190,2,3,0,1
TEST_0191,1,3,2,0
TEST_0192,1,3,0,2
TEST_0193,1,3,2,0
TEST_0194,1,2,3,0
TEST_0195,0,3,1,2
TEST_0196,1,0,2,3
TEST_0197,1,3,2,0
TEST_0198,1,3,0,2
TEST_0199,1,0,2,3
TEST_0200,0,2,3,1
TEST_0201,3,0,2,1
TEST_0202,2,0,1,3
TEST_0203,2,1,0,3
TEST_0204,1,2,0,3
TEST_0205,1,3,2,0
TEST_0206,2,3,0,1
TEST_0207,1,2,0,3
TEST_0208,3,2,1,0
TEST_0209,2,1,3,0
TEST_0210,3,1,0,2
TEST_0211,3,1,2,0
TEST_0212,0,3,1,2
TEST_0213,2,1,3,0
TEST_0214,1,2,3,0
TEST_0215,1,3,2,0
TEST_0216,2,3,0,1
TEST_0217,2,1,3,0
TEST_0218,2,1,0,3
TEST_0219,3,0,1,2
TEST_0220,2,1,0,3
TEST_0221,1,3,2,0
TEST_0222,2,3,0,1
TEST_0223,0,3,2,1
TEST_0224,2,0,1,3
TEST_0225,1,3,2,0
TEST_0226,3,0,2,1
TEST_0227,1,3,2,0
TEST_0228,1,0,2,3
TEST_0229,1,0,2,3
TEST_0230,2,3,0,1
TEST_0231,2,0,3,1
TEST_0232,0,3,1,2
TEST_0233,3,1,0,2
TEST_0234,0,1,3,2
TEST_0235,2,1,3,0
TEST_0236,3,1,2,0
TEST_0237,2,1,0,3
TEST_0238,1,2,0,3
TEST_0239,2,0,1,3
TEST_0240,2,3,1,0
TEST_0241,3,1,0,2
TEST_0242,3,1,2,0
TEST_0243,3,1,2,0
TEST_0244,1,3,2,0
TEST_0245,1,0,3,2
TEST_0246,2,0,3,1
TEST_0247,3,0,2,1
TEST_0248,0,1,2,3
TEST_0249,1,2,3,0
TEST_0250,1,2,3,0
TEST_0251,2,0,1,3
TEST_0252,0,3,2,1
TEST_0253,2,1,3,0
TEST_0254,2,1,3,0
TEST_0255,3,0,1,2
TEST_0256,3,0,1,2
TEST_0257,2,1,3,0
TEST_0258,1,0,3,2
TEST_0259,2,0,3,1
TEST_0260,1,2,3,0
TEST_0261,2,1,0,3
TEST_0262,0,2,1,3
TEST_0263,2,3,0,1
TEST_0264,3,2,0,1
TEST_0265,1,2,0,3
TEST_0266,0,3,1,2
TEST_0267,0,1,3,2
TEST_0268,1,2,0,3
TEST_0269,2,3,0,1
TEST_0270,0,1,2,3
TEST_0271,0,1,3,2
TEST_0272,0,3,1,2
TEST_0273,2,0,3,1
TEST_0274,1,3,0,2
TEST_0275,0,1,3,2
TEST_0276,1,0,3,2
TEST_0277,1,2,3,0
TEST_0278,3,1,0,2
TEST_0279,1,3,2,0
TEST_0280,2,0,3,1
TEST_0281,2,3,0,1
TEST_0282,1,3,2,0
TEST_0283,2,3,0,1
TEST_0284,1,2,0,3
TEST_0285,3,0,1,2
TEST_0286,3,2,1,0
TEST_0287,3,1,2,0
TEST_0288,2,1,0,3
TEST_0289,0,2,3,1
TEST_0290,3,0,2,1
TEST_0291,0,2,3,1
TEST_0292,0,1,3,2
TEST_0293,1,0,3,2
TEST_0294,3,0,2,1
TEST_0295,2,1,3,0
TEST_0296,2,1,0,3
TEST_0297,2,0,1,3
TEST_0298,2,3,1,0
TEST_0299,2,0,1,3
TEST_0300,0,2,3,1
TEST_0301,3,1,0,2
TEST_0302,3,0,2,1
TEST_0303,3,0,1,2
TEST_0304,0,2,3,1
TEST_0305,3,0,1,2
TEST_0306,3,1,2,0
TEST_0307,0,1,2,3
TEST_0308,0,2,3,1
TEST_0309,2,0,1,3
TEST_0310,2,0,1,3
TEST_0311,2,1,3,0
TEST_0312,3,1,2,0
TEST_0313,3,0,1,2
TEST_0314,2,3,0,1
TEST_0315,0,2,1,3
TEST_0316,1,3,2,0
TEST_0317,2,3,0,1
TEST_0318,2,3,0,1
TEST_0319,2,1,3,0
TEST_0320,0,1,3,2
TEST_0321,0,2,3,1
TEST_0322,1,0,2,3
TEST_0323,1,3,0,2
TEST_0324,3,1,0,2
TEST_0325,3,2,0,1
TEST_0326,3,0,2,1
TEST_0327,1,2,3,0
TEST_0328,1,2,0,3
TEST_0329,1,2,0,3
TEST_0330,0,3,2,1
TEST_0331,0,1,2,3
TEST_0332,2,0,1,3
TEST_0333,0,3,1,2
TEST_0334,1,0,3,2
TEST_0335,3,1,2,0
TEST_0336,2,1,0,3
TEST_0337,1,2,0,3
TEST_0338,1,2,3,0
TEST_0339,0,1,2,3
TEST_0340,0,2,1,3
TEST_0341,2,3,0,1
TEST_0342,1,2,0,3
TEST_0343,0,3,1,2
TEST_0344,2,1,0,3
TEST_0345,0,1,3,2
TEST_0346,1,2,3,0
TEST_0347,0,1,2,3
TEST_0348,0,3,1,2
TEST_0349,2,0,1,3
TEST_0350,1,3,0,2
TEST_0351,1,3,2,0
TEST_0352,0,2,1,3
TEST_0353,3,0,2,1
TEST_0354,3,1,2,0
TEST_0355,2,1,3,0
TEST_0356,3,1,2,0
TEST_0357,3,0,2,1
TEST_0358,3,0,2,1
TEST_0359,0,2,1,3
TEST_0360,2,0,1,3
TEST_0361,2,1,3,0
TEST_0362,1,2,3,0
TEST_0363,0,3,1,2
TEST_0364,1,0,2,3
TEST_0365,0,1,3,2
TEST_0366,0,3,1,2
TEST_0367,1,3,2,0
TEST_0368,1,0,2,3
TEST_0369,3,1,2,0
TEST_0370,3,1,2,0
TEST_0371,2,0,1,3
TEST_0372,2,0,3,1
TEST_0373,0,2,1,3
TEST_0374,2,0,1,3
TEST_0375,0,3,2,1
TEST_0376,0,1,3,2
TEST_0377,1,2,0,3
TEST_0378,1,3,0,2
TEST_0379,2,1,0,3
TEST_0380,2,3,1,0
TEST_0381,0,2,3,1
TEST_0382,1,3,0,2
TEST_0383,0,3,1,2
TEST_0384,1,0,3,2
TEST_0385,3,1,2,0
TEST_0386,2,1,0,3
TEST_0387,2,0,1,3
TEST_0388,0,2,1,3
TEST_0389,2,0,1,3
TEST_0390,0,3,2,1
TEST_0391,0,1,2,3
TEST_0392,1,2,3,0
TEST_0393,0,1,3,2
TEST_0394,2,1,3,0
TEST_0395,0,2,1,3
TEST_0396,2,3,1,0
TEST_0397,1,2,0,3
TEST_0398,1,3,2,0
TEST_0399,1,0,2,3
TEST_0400,2,1,3,0
TEST_0401,1,2,3,0
TEST_0402,2,1,3,0
TEST_0403,0,2,1,3
TEST_0404,2,0,1,3
TEST_0405,1,3,0,2
TEST_0406,2,1,3,0
TEST_0407,3,1,0,2
TEST_0408,1,0,3,2
TEST_0409,2,0,1,3
TEST_0410,0,2,3,1
TEST_0411,2,0,1,3
TEST_0412,1,2,3,0
TEST_0413,0,1,3,2
TEST_0414,1,2,0,3
TEST_0415,3,1,2,0
TEST_0416,3,0,1,2
TEST_0417,2,1,3,0
TEST_0418,1,2,3,0
TEST_0419,2,0,3,1
TEST_0420,0,3,2,1
TEST_0421,2,3,0,1
TEST_0422,1,3,2,0
TEST_0423,0,3,2,1
TEST_0424,3,2,0,1
TEST_0425,0,1,2,3
TEST_0426,2,1,3,0
TEST_0427,2,1,0,3
TEST_0428,0,1,3,2
TEST_0429,2,3,1,0
TEST_0430,1,2,0,3
TEST_0431,0,1,2,3
TEST_0432,3,1,2,0
TEST_0433,3,2,0,1
TEST_0434,0,3,1,2
TEST_0435,2,0,3,1
TEST_0436,3,1,2,0
TEST_0437,1,0,3,2
TEST_0438,2,1,3,0
TEST_0439,0,1,2,3
TEST_0440,1,0,2,3
TEST_0441,0,1,2,3
TEST_0442,1,2,3,0
TEST_0443,3,2,1,0
TEST_0444,1,0,2,3
TEST_0445,3,1,0,2
TEST_0446,1,3,0,2
TEST_0447,0,2,3,1
TEST_0448,0,1,2,3
TEST_0449,1,2,3,0
TEST_0450,3,2,1,0
TEST_0451,0,2,3,1
TEST_0452,3,1,0,2
TEST_0453,1,2,3,0
TEST_0454,0,2,3,1
TEST_0455,2,1,3,0
TEST_0456,1,0,3,2
TEST_0457,0,3,2,1
TEST_0458,1,0,2,3
TEST_0459,0,1,3,2
TEST_0460,2,3,0,1
TEST_0461,1,2,0,3
TEST_0462,3,1,2,0
TEST_0463,0,2,1,3
TEST_0464,1,0,3,2
TEST_0465,3,2,0,1
TEST_0466,0,2,1,3
TEST_0467,3,1,2,0
TEST_0468,3,1,0,2
TEST_0469,3,2,1,0
TEST_0470,3,1,0,2
TEST_0471,1,2,0,3
TEST_0472,1,2,3,0
TEST_0473,2,3,1,0
TEST_0474,1,0,2,3
TEST_0475,2,1,3,0
TEST_0476,3,2,1,0
TEST_0477,2,1,0,3
TEST_0478,3,2,1,0
TEST_0479,2,3,1,0
TEST_0480,0,1,3,2
TEST_0481,0,1,3,2
TEST_0482,2,3,1,0
TEST_0483,1,2,0,3
TEST_0484,0,3,2,1
TEST_0485,3,0,2,1
TEST_0486,3,2,1,0
TEST_0487,3,2,1,0
TEST_0488,2,1,3,0
TEST_0489,0,1,2,3
TEST_0490,0,3,2,1
TEST_0491,0,2,1,3
TEST_0492,3,0,1,2
TEST_0493,1,2,3,0
TEST_0494,2,0,3,1
TEST_0495,0,1,2,3
TEST_0496,2,0,3,1
TEST_0497,1,0,2,3
TEST_0498,1,0,3,2
TEST_0499,0,3,1,2
TEST_0500,0,1,2,3
TEST_0501,3,2,1,0
TEST_0502,1,2,3,0
TEST_0503,3,0,1,2
TEST_0504,0,1,2,3
TEST_0505,3,0,2,1
TEST_0506,1,2,0,3
TEST_0507,1,2,0,3
TEST_0508,1,2,3,0
TEST_0509,1,0,3,2
TEST_0510,1,0,2,3
TEST_0511,0,3,1,2
TEST_0512,3,2,0,1
TEST_0513,2,1,0,3
TEST_0514,3,2,1,0
TEST_0515,2,0,3,1
TEST_0516,2,0,3,1
TEST_0517,3,2,1,0
TEST_0518,0,1,3,2
TEST_0519,0,3,2,1
TEST_0520,3,2,0,1
TEST_0521,2,3,1,0
TEST_0522,3,2,1,0
TEST_0523,0,3,2,1
TEST_0524,1,0,2,3
TEST_0525,2,3,0,1
TEST_0526,0,1,2,3
TEST_0527,2,3,0,1
TEST_0528,3,2,0,1
TEST_0529,3,1,2,0
TEST_0530,0,3,2,1
TEST_0531,3,2,1,0
TEST_0532,2,1,3,0
TEST_0533,0,3,2,1
TEST_0534,2,3,1,0
TEST_0535,1,2,0,3
TEST_0536,0,2,1,3
TEST_0537,1,0,2,3
TEST_0538,1,3,2,0
TEST_0539,3,1,0,2
TEST_0540,1,0,2,3
TEST_0541,3,2,0,1
TEST_0542,1,3,0,2
TEST_0543,0,1,3,2
TEST_0544,1,2,0,3
TEST_0545,1,3,2,0
TEST_0546,2,3,1,0
TEST_0547,1,2,0,3
TEST_0548,2,3,0,1
TEST_0549,1,2,0,3
TEST_0550,2,1,0,3
TEST_0551,2,1,0,3
TEST_0552,1,0,2,3
TEST_0553,3,2,1,0
TEST_0554,0,1,2,3
TEST_0555,3,0,1,2
TEST_0556,1,2,0,3
TEST_0557,3,0,2,1
TEST_0558,2,1,0,3
TEST_0559,1,0,3,2
TEST_0560,1,0,3,2
TEST_0561,0,3,2,1
TEST_0562,3,1,0,2
TEST_0563,1,3,2,0
TEST_0564,0,3,1,2
TEST_0565,0,3,2,1
TEST_0566,0,2,1,3
TEST_0567,0,1,3,2
TEST_0568,2,3,0,1
TEST_0569,0,3,1,2
TEST_0570,2,0,3,1
TEST_0571,3,2,1,0
TEST_0572,2,3,1,0
TEST_0573,3,0,1,2
TEST_0574,1,3,0,2
TEST_0575,3,0,1,2
TEST_0576,0,3,1,2
TEST_0577,0,2,1,3
TEST_0578,2,0,1,3
TEST_0579,2,3,0,1
TEST_0580,2,1,0,3
TEST_0581,2,1,3,0
TEST_0582,1,0,3,2
TEST_0583,3,0,1,2
TEST_0584,1,3,0,2
TEST_0585,3,0,2,1
TEST_0586,0,1,3,2
TEST_0587,1,2,3,0
TEST_0588,2,1,3,0
TEST_0589,1,0,3,2
TEST_0590,0,2,3,1
TEST_0591,3,1,0,2
TEST_0592,0,3,1,2
TEST_0593,1,2,3,0
TEST_0594,1,3,0,2
TEST_0595,3,0,2,1
TEST_0596,0,1,3,2
TEST_0597,1,0,2,3
TEST_0598,3,0,1,2
TEST_0599,1,3,0,2
TEST_0600,2,3,1,0
TEST_0601,3,2,0,1
TEST_0602,0,2,3,1
TEST_0603,0,1,3,2
TEST_0604,1,3,2,0
TEST_0605,0,1,3,2
TEST_0606,3,1,0,2
TEST_0607,3,1,2,0
TEST_0608,3,0,2,1
TEST_0609,0,1,3,2
TEST_0610,1,2,3,0
TEST_0611,2,1,0,3
TEST_0612,0,1,3,2
TEST_0613,1,2,3,0
TEST_0614,2,1,0,3
TEST_0615,3,2,0,1
TEST_0616,2,0,1,3
TEST_0617,2,3,1,0
TEST_0618,1,0,2,3
TEST_0619,2,0,1,3
TEST_0620,2,0,1,3
TEST_0621,3,1,0,2
TEST_0622,3,1,2,0
TEST_0623,0,1,3,2
TEST_0624,1,0,2,3
TEST_0625,2,1,3,0
TEST_0626,2,1,0,3
TEST_0627,1,2,3,0
TEST_0628,0,1,2,3
TEST_0629,3,2,0,1
TEST_0630,0,2,1,3
TEST_0631,1,2,0,3
TEST_0632,3,1,0,2
TEST_0633,1,3,0,2
TEST_0634,3,1,2,0
TEST_0635,0,3,1,2
TEST_0636,1,3,0,2
TEST_0637,0,2,3,1
TEST_0638,3,2,1,0
TEST_0639,1,0,2,3
TEST_0640,2,1,3,0
TEST_0641,3,0,1,2
TEST_0642,2,3,0,1
TEST_0643,0,2,1,3
TEST_0644,1,3,2,0
TEST_0645,1,3,0,2
TEST_0646,2,1,0,3
TEST_0647,2,3,1,0
TEST_0648,1,3,2,0
TEST_0649,0,3,1,2
TEST_0650,1,2,3,0
TEST_0651,1,0,3,2
TEST_0652,1,2,3,0
TEST_0653,0,3,1,2
TEST_0654,0,2,3,1
TEST_0655,2,0,3,1
TEST_0656,1,2,3,0
TEST_0657,0,3,2,1
TEST_0658,3,1,0,2
TEST_0659,0,2,1,3
TEST_0660,3,0,2,1
TEST_0661,2,3,0,1
TEST_0662,3,0,1,2
TEST_0663,0,3,2,1
TEST_0664,3,1,0,2
TEST_0665,3,2,0,1
TEST_0666,0,3,2,1
TEST_0667,1,3,0,2
TEST_0668,1,2,0,3
TEST_0669,1,0,2,3
TEST_0670,0,1,3,2
TEST_0671,3,2,1,0
TEST_0672,0,2,1,3
TEST_0673,2,3,0,1
TEST_0674,1,2,3,0
TEST_0675,0,2,1,3
TEST_0676,1,0,3,2
TEST_0677,1,2,3,0
TEST_0678,3,0,2,1
TEST_0679,1,3,0,2
TEST_0680,1,0,3,2
TEST_0681,3,0,2,1
TEST_0682,0,1,3,2
TEST_0683,0,1,2,3
TEST_0684,2,3,0,1
TEST_0685,3,2,1,0
TEST_0686,1,2,3,0
TEST_0687,2,3,0,1
TEST_0688,0,3,1,2
TEST_0689,2,0,1,3
TEST_0690,3,2,0,1
TEST_0691,3,1,0,2
TEST_0692,0,3,2,1
TEST_0693,1,3,0,2
TEST_0694,0,1,3,2
TEST_0695,0,2,1,3
TEST_0696,3,2,0,1
TEST_0697,2,1,0,3
TEST_0698,2,0,3,1
TEST_0699,1,0,2,3
TEST_0700,0,2,3,1
TEST_0701,0,1,2,3
TEST_0702,3,1,0,2
TEST_0703,0,2,1,3
TEST_0704,0,3,1,2
TEST_0705,1,0,3,2
TEST_0706,2,0,3,1
TEST_0707,1,3,0,2
TEST_0708,0,3,1,2
TEST_0709,2,3,1,0
TEST_0710,2,3,1,0
TEST_0711,1,2,0,3
TEST_0712,1,3,2,0
TEST_0713,2,1,0,3
TEST_0714,3,0,1,2
TEST_0715,3,0,1,2
TEST_0716,3,2,0,1
TEST_0717,2,0,1,3
TEST_0718,1,3,0,2
TEST_0719,1,3,2,0
TEST_0720,2,1,0,3
TEST_0721,1,3,2,0
TEST_0722,2,3,0,1
TEST_0723,2,1,0,3
TEST_0724,2,1,0,3
TEST_0725,1,3,2,0
TEST_0726,0,2,3,1
TEST_0727,0,2,3,1
TEST_0728,1,0,3,2
TEST_0729,3,1,2,0
TEST_0730,0,3,1,2
TEST_0731,3,1,2,0
TEST_0732,0,1,2,3
TEST_0733,0,3,2,1
TEST_0734,1,2,3,0
TEST_0735,2,3,0,1
TEST_0736,3,1,2,0
TEST_0737,1,2,0,3
TEST_0738,2,1,3,0
TEST_0739,1,3,0,2
TEST_0740,0,2,3,1
TEST_0741,0,3,1,2
TEST_0742,3,0,1,2
TEST_0743,3,2,0,1
TEST_0744,3,1,0,2
TEST_0745,1,2,3,0
TEST_0746,1,2,3,0
TEST_0747,0,3,1,2
TEST_0748,2,0,1,3
TEST_0749,0,2,1,3
TEST_0750,3,2,0,1
TEST_0751,1,2,0,3
TEST_0752,2,1,0,3
TEST_0753,2,3,1,0
TEST_0754,0,3,1,2
TEST_0755,0,2,1,3
TEST_0756,1,0,2,3
TEST_0757,3,1,2,0
TEST_0758,1,3,0,2
TEST_0759,0,1,3,2
TEST_0760,1,2,0,3
TEST_0761,2,3,1,0
TEST_0762,2,1,3,0
TEST_0763,1,2,3,0
TEST_0764,3,2,0,1
TEST_0765,2,3,0,1
TEST_0766,0,2,3,1
TEST_0767,3,2,0,1
TEST_0768,0,1,3,2
TEST_0769,0,1,2,3
TEST_0770,3,1,2,0
TEST_0771,3,2,0,1
TEST_0772,1,2,3,0
TEST_0773,0,1,2,3
TEST_0774,3,2,1,0
TEST_0775,3,1,2,0
TEST_0776,3,0,2,1
TEST_0777,0,1,3,2
TEST_0778,3,0,2,1
TEST_0779,2,1,0,3
TEST_0780,0,3,2,1
TEST_0781,2,0,1,3
TEST_0782,3,0,2,1
TEST_0783,0,2,1,3
TEST_0784,1,3,2,0
TEST_0785,1,0,3,2
TEST_0786,0,1,3,2
TEST_0787,3,1,0,2
TEST_0788,1,2,3,0
TEST_0789,0,3,1,2
TEST_0790,2,3,0,1
TEST_0791,3,1,2,0
TEST_0792,2,3,1,0
TEST_0793,0,1,3,2
TEST_0794,0,3,2,1
TEST_0795,2,0,3,1
TEST_0796,2,1,3,0
TEST_0797,1,0,2,3
TEST_0798,2,0,3,1
TEST_0799,2,1,0,3
TEST_0800,1,0,2,3
TEST_0801,2,3,1,0
TEST_0802,3,0,2,1
TEST_0803,3,0,2,1
TEST_0804,1,2,3,0
TEST_0805,1,0,3,2
TEST_0806,3,1,0,2
TEST_0807,2,3,0,1
TEST_0808,2,3,1,0
TEST_0809,0,3,1,2
TEST_0810,1,2,0,3
TEST_0811,0,2,1,3
TEST_0812,1,0,2,3
TEST_0813,3,1,2,0
TEST_0814,2,3,0,1
TEST_0815,0,2,1,3
TEST_0816,0,1,3,2
TEST_0817,3,2,0,1
TEST_0818,3,2,1,0
TEST_0819,1,3,2,0
TEST_0820,3,1,0,2
TEST_0821,2,3,1,0
TEST_0822,3,0,1,2
TEST_0823,0,3,1,2
TEST_0824,2,1,0,3
TEST_0825,0,3,1,2
TEST_0826,3,0,1,2
TEST_0827,1,0,2,3
TEST_0828,3,0,2,1
TEST_0829,3,1,0,2
TEST_0830,2,1,3,0
TEST_0831,0,1,2,3
TEST_0832,3,0,2,1
TEST_0833,1,3,0,2
TEST_0834,1,3,2,0
TEST_0835,0,3,1,2
TEST_0836,2,0,1,3
TEST_0837,2,1,0,3
TEST_0838,2,3,0,1
TEST_0839,3,1,2,0
TEST_0840,1,3,0,2
TEST_0841,0,3,1,2
TEST_0842,3,1,2,0
TEST_0843,1,2,0,3
TEST_0844,0,2,1,3
TEST_0845,3,0,1,2
TEST_0846,0,3,1,2
TEST_0847,2,0,1,3
TEST_0848,0,1,3,2
TEST_0849,2,3,0,1
TEST_0850,3,2,0,1
TEST_0851,1,0,2,3
TEST_0852,2,3,0,1
TEST_0853,2,3,1,0
TEST_0854,1,3,0,2
TEST_0855,1,0,2,3
TEST_0856,2,1,3,0
TEST_0857,2,0,3,1
TEST_0858,3,0,1,2
TEST_0859,2,3,0,1
TEST_0860,0,2,1,3
TEST_0861,0,3,1,2
TEST_0862,1,2,0,3
TEST_0863,3,1,0,2
TEST_0864,1,3,2,0
TEST_0865,2,3,0,1
TEST_0866,1,0,3,2
TEST_0867,2,3,0,1
TEST_0868,1,3,0,2
TEST_0869,3,2,1,0
TEST_0870,2,3,0,1
TEST_0871,1,2,3,0
TEST_0872,1,2,0,3
TEST_0873,1,0,2,3
TEST_0874,0,2,3,1
TEST_0875,0,3,1,2
TEST_0876,1,2,3,0
TEST_0877,2,0,1,3
TEST_0878,1,3,0,2
TEST_0879,3,2,0,1
TEST_0880,1,2,0,3
TEST_0881,1,2,0,3
TEST_0882,3,1,0,2
TEST_0883,2,3,1,0
TEST_0884,1,2,0,3
TEST_0885,0,1,2,3
TEST_0886,0,1,3,2
TEST_0887,0,2,3,1
TEST_0888,2,1,0,3
TEST_0889,0,1,3,2
TEST_0890,0,2,1,3
TEST_0891,2,0,1,3
TEST_0892,0,1,2,3
TEST_0893,2,3,1,0
TEST_0894,3,1,0,2
TEST_0895,0,2,1,3
TEST_0896,3,1,0,2
TEST_0897,0,1,3,2
TEST_0898,1,0,2,3
TEST_0899,1,3,2,0
TEST_0900,2,3,1,0
TEST_0901,3,2,0,1
TEST_0902,1,2,0,3
TEST_0903,2,0,1,3
TEST_0904,3,1,2,0
TEST_0905,0,1,2,3
TEST_0906,1,2,0,3
TEST_0907,0,3,2,1
TEST_0908,3,1,0,2
TEST_0909,1,0,3,2
TEST_0910,3,0,1,2
TEST_0911,1,0,2,3
TEST_0912,0,3,1,2
TEST_0913,2,0,1,3
TEST_0914,0,1,3,2
TEST_0915,3,0,2,1
TEST_0916,2,1,0,3
TEST_0917,1,2,3,0
TEST_0918,1,3,0,2
TEST_0919,1,3,0,2
TEST_0920,3,0,1,2
TEST_0921,0,2,1,3
TEST_0922,2,3,0,1
TEST_0923,3,0,2,1
TEST_0924,2,1,0,3
TEST_0925,2,1,0,3
TEST_0926,0,1,2,3
TEST_0927,3,2,1,0
TEST_0928,1,3,0,2
TEST_0929,1,2,3,0
